"source","af","bg","ca","zh_CN","zh_TW","hr","cs","da","nl","en","en_CA","en_GB","en_US","et","fi","fr","fr_CA","de","el","hi","hu","it","ja","ko","mi","no","pl","pt","pt_BR","ro","ru","sr","es","es_AR","es_419","es_US","sv","tr","uk","vi","eo","gd","si","sl","lv","id"
"Add to your browser from the Chrome Web Store","","","","从 Chrome 应用商店添加到您的浏览器","從 Chrome 應用程式商店新增至您的瀏覽器","","","","","","Add to your browser from the Chrome Web Store","Add to your browser from the Chrome Web Store","Add to your browser from the Chrome Web Store","","","Ajouter à votre navigateur depuis le Chrome Web Store","Ajouter à votre navigateur depuis le Chrome Web Store","Über den Chrome Web Store zu deinem Browser hinzufügen","","","","Aggiungi al tuo browser dal Chrome Web Store","Chromeウェブストアからブラウザに追加","Chrome 웹스토어에서 브라우저 확장으로 추가","","Legg til i nettleseren din fra Chrome Nettmarked","Dodaj do swojej przeglądarki z Chrome Web Store","","","","Добавить в браузер из Chrome Web Store","","Añadir a su navegador desde la Chrome Web Store","Añadir a su navegador desde la Chrome Web Store","Añadir a su navegador desde la Chrome Web Store","Añadir a su navegador desde la Chrome Web Store","","","Додати до свого браузера з Chrome Web Store","","","","","Dodaj na tvoj brskalnik iz Chrome Spletne Trgovine","",""
"Visit Chrome Web Store","","","","访问 Chrome 应用商店","前往Chrome 應用程式商店","","","","","","Visit Chrome Web Store","Visit Chrome Web Store","Visit Chrome Web Store","Külasta Chrome'i veebipoodi","","Visiter le Chrome Web Store","Visiter le Chrome Web Store","Besuche den Chrome Web Store","","","","Visita Chrome Web Store","Chrome ウェブストアを開く","Chrome 웹스토어 가기","","Besøk Chrome Nettmarked","Odwiedź Chrome Web Store","","","","Посетить Chrome Web Store","","Visitar Chrome Web Store","Visitar Chrome Web Store","Visitar Chrome Web Store","Visitar Chrome Web Store","","","Відвідати Chrome Web Store","","","","","Obišči Chrome Spletno Trgovino","",""
"You can't add ModernDeck to your browser because Microsoft Edge Legacy is no longer supported.","","","","您不能将 ModernDeck 添加到您的浏览器，旧版的微软 Edge 浏览器已经不再被支持。","您不能將 ModernDeck 新增至您的瀏覽器，舊版的微軟 Edge 瀏覽器已經停止支援。","","","","","","You can't add ModernDeck to your browser because Microsoft Edge Legacy is no longer supported.","You can't add ModernDeck to your browser because Microsoft Edge Legacy is no longer supported.","You can't add ModernDeck to your browser because Microsoft Edge Legacy is no longer supported.","Te ei saa lisada ModernDeck'i enda brauserile, sest Microsoft Edge Legacy ei ole enam toetatud.","","Vous ne pouvez pas ajouter ModernDeck à votre navigateur car Microsoft Edge Legacy n'est plus pris en charge.","Vous ne pouvez pas ajouter ModernDeck à votre navigateur car Microsoft Edge Legacy n'est plus pris en charge.","Du kannst ModernDeck nicht zu deinem Browser hinzufügen, weil Microsoft Edge Legacy nicht mehr unterstützt wird.","","","","Non puoi aggiungere ModernDeck al tuo browser perché Microsoft Edge Legacy non è più supportato.","旧Microsoft Edgeはサポートされていないため、ModernDeckをブラウザに追加できません。","마이크로소프트 Edge 레가시버전은 더이상 지원되지 않으므로 모던덱을 설치할 수 없습니다.","","Du kan ikke legge til ModernDeck i nettleseren din fordi Microsoft Edge Legacy ikke lenger støttes.","Nie możesz dodać ModernDeck do swojej przeglądarki, ponieważ Microsoft Edge Legacy nie jest już wspierane.","","","","Добавить ModernDeck в ваш браузер не получится, так как старая версия Microsoft Edge больше не поддерживается.","","No puede añadir ModernDeck a su navegador porque Microsoft Edge Legacy ya no es compatible.","No puede añadir ModernDeck a su navegador porque Microsoft Edge Legacy ya no es compatible.","No puede añadir ModernDeck a su navegador porque Microsoft Edge Legacy ya no es compatible.","No puede añadir ModernDeck a su navegador porque Microsoft Edge Legacy ya no es compatible.","","","Ви не можете додати ModernDeck до вашого браузеру, тому що стара версія Microsoft Edge більше не підтримується.","","","","","ModernDeck ni možno dodati v vaš brskalnik, saj Microsoft Edge Legacy ni več podprt.","",""
"Sorry, ModernDeck isn't compatible with your browser.","","","","抱歉，ModernDeck 与您的浏览器不兼容。","抱歉，ModernDeck 與您的瀏覽器不相容。","","","","","","Sorry, ModernDeck isn't compatible with your browser.","Sorry, ModernDeck isn't compatible with your browser.","Sorry, ModernDeck isn't compatible with your browser.","Vabandame! ModernDeck ei ühildu teie brauseriga.","","Désolé, ModernDeck n'est pas compatible avec votre navigateur.","Désolé, ModernDeck n'est pas compatible avec votre navigateur.","Tut uns leid, ModernDeck ist nicht mit deinem Browser kompatibel.","","","","Spiacenti, ModernDeck non è compatibile con il tuo browser.","申し訳ありませんが、ModernDeck は現在使用しているブラウザと互換性がありません。","죄송합니다. 모던덱은 귀하의 브라우저와 호환되지 않습니다.","","Beklager, ModernDeck er ikke kompatibel med nettleseren din.","Niestety, ModernDeck nie jest kompatybilne z twoją przeglądarką.","","","","Увы, ModernDeck не совместим с вашим браузером.","","Lo sentimos, ModernDeck no es compatible con tu navegador.","Lo sentimos, ModernDeck no es compatible con tu navegador.","Lo sentimos, ModernDeck no es compatible con tu navegador.","Lo sentimos, ModernDeck no es compatible con tu navegador.","","","Вибачте, ModernDeck несумісний з вашим браузером.","","","","","Oprostite, ModernDeck ni kompatibilen z vašim brskalnikom.","",""
"Back","","","","返回","返回","","","","","","Back","Back","Back","Tagasi","","Retour","Retour","Zurück","","","","Indietro","戻る","이전으로","","Tilbake","Wróć","","","","Назад","","Volver","Volver","Volver","Volver","","","Назад","","","","","Nazaj","",""
"Get the code on GitHub","","","","在 GitHub 中查看源代码","從GitHub獲取源代碼","","","","","","Get the code on GitHub","Get the code on GitHub","Get the code on GitHub","Pääse ligi koodile GitHubis","","Voir la source sur GitHub","Voir la source sur GitHub","Hol dir den Code auf GitHub","","","","Ottieni il codice su GitHub","GitHubでコードを入手","GitHub에서 코드 받기","","Få koden på GitHub","Otrzymaj kod na GitHub","","","","Исходный код на GitHub","","Vea el código en GitHub","Vea el código en GitHub","Vea el código en GitHub","Vea el código en GitHub","","","Отримати код на GitHub","","","","","Pridobi kodo na GitHub","",""
"ModernDeck on GitHub","","","","ModernDeck GitHub 网页","ModernDeck GitHub 網頁","","","","","","ModernDeck on GitHub","ModernDeck on GitHub","ModernDeck on GitHub","ModernDeck GitHubis","","ModernDeck sur GitHub","ModernDeck sur GitHub","ModernDeck auf GitHub","","","","ModernDeck su GitHub","ModernDeck on GitHub","GitHub에서 모던덱 찾기","","ModernDeck på GitHub","ModernDeck na GitHub","","","","ModernDeck на GitHub","","ModernDeck en GitHub","ModernDeck en GitHub","ModernDeck en GitHub","ModernDeck en GitHub","","","ModernDeck на GitHub","","","","","ModernDeck na GitHub","",""
"Sorry, ModernDeck Desktop isn't available on {{platform}}.","","","","很抱歉，ModernDeck 桌面在 {{platform}} 上不可用。","很抱歉，ModernDeck Desktop在 {{platform}} 上無法使用。","","","","","","Sorry, ModernDeck Desktop isn't available on {{platform}}.","Sorry, ModernDeck Desktop isn't available on {{platform}}.","Sorry, ModernDeck Desktop isn't available on {{platform}}.","Vabandame! ModernDeck'i töölaud ei ole {{platform}}'il saadaval.","","Désolé, ModernDeck Desktop n'est pas disponible sur {{platform}}.","Désolé, ModernDeck Desktop n'est pas disponible sur {{platform}}.","Tut uns leid, ModernDeck Desktop ist nicht verfügbar auf {{platform}}.","","","","Siamo spiacenti, ModernDeck Desktop non è disponibile su {{platform}}.","申し訳ありませんが、ModernDeck Desktopは {{platform}} で利用できません。","죄송합니다. 모던덱 데스크톱은 {{platform}} 에서 지원되지 않습니다.","","Beklager, ModernDeck Desktop er ikke tilgjengelig på {{platform}}.","Przepraszamy, ModernDeck Desktop nie jest dostępne na {{platform}}.","","","","Увы, ModernDeck недоступен на {{platform}}.","","Lo sentimos, ModernDeck no está disponible en {{platform}}.","Lo sentimos, ModernDeck no está disponible en {{platform}}.","Lo sentimos, ModernDeck no está disponible en {{platform}}.","Lo sentimos, ModernDeck no está disponible en {{platform}}.","","","Нажаль, ModernDeck недоступний для {{platform}}.","","","","","Oprostite, namizna različica ModernDeck ni na voljo na {{platform}}.","",""
"Download for Microsoft Edge","","","","下载微软 Edge 浏览器版本","下載微軟Edge版","","","","","","Download for Microsoft Edge","Download for Microsoft Edge","Download for Microsoft Edge","Laadi alla Microsoft Edge'ile","","Télécharger pour Microsoft Edge","Télécharger pour Microsoft Edge","Download für Microsoft Edge","","","","Scarica per Microsoft Store","Microsoft Edge 用にダウンロード","마이크로소프트 Edge용 다운로드","","Last ned for Microsoft Edge","Pobierz dla Microsoft Edge","","","","Скачать для Microsoft Edge","","Descargar para Microsoft Edge","Descargar para Microsoft Edge","Descargar para Microsoft Edge","Descargar para Microsoft Edge","","","Завантажити для Microsoft Edge","","","","","Prenesi za Microsoft Edge","",""
"Download on Flathub","","","","从 Flathub 下载","在Flathub下載","","","","","","Download on Flathub","Download on Flathub","Download on Flathub","","","Télécharger sur Flathub","Télécharger sur Flathub","Download auf Flathub","","","","Scarica su Flathub","Flathubでダウンロード","Flathub에서 다운로드","","Last ned på Flathub","Pobierz na Flathub","","","","Скачать на Flathub","","Descargar en Flathub","Descargar en Flathub","Descargar en Flathub","Descargar en Flathub","","","Завантажте з Flathub","","","","","Prenesi na Flathub","",""
