"source","af","bg","ca","zh_CN","zh_TW","hr","cs","da","nl","en","en_CA","en_GB","en_US","et","fi","fr","fr_CA","de","el","hi","hu","it","ja","ko","mi","no","pl","pt","pt_BR","ro","ru","sr","es","es_AR","es_419","es_US","sv","tr","uk","vi","eo","gd"
"Pick a theme","Pick a theme","Pick a theme","Pick a theme","Pick a theme","Pick a theme","Pick a theme","Pick a theme","Pick a theme","Pick a theme","Pick a theme","Pick a theme","Pick a theme","Pick a theme","Pick a theme","Pick a theme","Choisissez un thème","Choisissez un thème","Pick a theme","Pick a theme","Pick a theme","Pick a theme","Scegli un tema","Pick a theme","Pick a theme","Pick a theme","Pick a theme","Pick a theme","Pick a theme","Pick a theme","Pick a theme","Выберите тему","Pick a theme","Pick a theme","Pick a theme","Pick a theme","Pick a theme","Pick a theme","Pick a theme","Pick a theme","Pick a theme","Pick a theme","Pick a theme"
"Restore default","Restore default","Restore default","Restore default","Restore default","Restore default","Restore default","Restore default","Restore default","Restore default","Restore default","Restore default","Restore default","Restore default","Restore default","Restore default","Restore default","Restore default","Restore default","Restore default","Restore default","Restore default","Riprstina predefinita","Restore default","Restore default","Restore default","Restore default","Restore default","Restore default","Restore default","Restore default","Сбросить","Restore default","Restore default","Restore default","Restore default","Restore default","Restore default","Restore default","Restore default","Restore default","Restore default","Restore default"
"<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Упрощенный:</b> Общие функции всегда отображаются, например, кнопки твитнуть и поиск. Менее популярные опции, такие как добавление столбцов, помещены в боковое меню.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer.","<b>Simplified:</b> Common features are always displayed, like Tweet and Search. Less common options like adding columns are available in the Navigation Drawer."
"<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Классический (TweetDeck):</b> Все кнопки отображаются. Этот режим похож на TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck.","<b>Classic (TweetDeck):</b> All buttons are displayed. This layout more closely resembles default TweetDeck."
"Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Отображать ""Тред"" на твитах, которые принадлежат треду","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread","Display ""Thread"" on Tweets that are part of a thread"
"ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck per Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck на Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon","ModernDeck on Apple Silicon"
"We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","Мы обнаружили, что ModernDeck работает под эмулятором Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta.","We detected that ModernDeck is running under Rosetta."
"While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","Nonostante funzioni comunque, ModernDeck funzionerebbe molto più velocemente se scaricassi la versione originale di Apple Silicon.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","Хоть ModernDeck и будет работать, приложение будет в разы производительнее, если вы загрузите native сборку Apple Silicon.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build.","While it will still work, ModernDeck will run a lot faster if you download the native Apple Silicon build."
"Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Vuoi scaricare la versione originale?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Хотите ли Вы загрузить native версию?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?","Would you like to download the native version?"
"Maybe later","Maybe later","Maybe later","Maybe later","Maybe later","Maybe later","Maybe later","Maybe later","Maybe later","Maybe later","Maybe later","Maybe later","Maybe later","Maybe later","Maybe later","Maybe later","Maybe later","Maybe later","Maybe later","Maybe later","Maybe later","Maybe later","Forse più tardi","Maybe later","Maybe later","Maybe later","Maybe later","Maybe later","Maybe later","Maybe later","Maybe later","Позже","Maybe later","Maybe later","Maybe later","Maybe later","Maybe later","Maybe later","Maybe later","Maybe later","Maybe later","Maybe later","Maybe later"
"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Sì","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Да","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
